九莲宝灯: 48番
十三幺: 24番
字一色: 16番
清一色: 12番
混一色: 6番
缺一门: 2番
连数: 8番
五门齐: 3番
三聚: 12番
四聚: 4番
二数: 16番
间数: 6番
清幺九: 24番
混幺九: 12番
清全带幺: 8番
混全带幺: 4番
七对子: 8番
四刻: 4番
四暗刻: 24番
三暗刻: 12番
双暗刻: 3番
三色同刻: 12番
三色连刻: 6番
两双同刻: 6番
双同刻: 2番
四连刻: 24番
三连刻: 12番
两双连刻: 8番
双连刻: 2番
三色贯通: 4番
三色同顺: 4番
镜同: 4番
双相逢: 3番
喜相逢: 1番
四步高: 24番
四连环: 16番
三步高: 8番
三连环: 6番
一气贯通: 6番
双龙会: 3番
连六: 1番
四同顺: 40番
三同顺: 16番
两般高: 12番
一般高: 2番
十二归: 24番
八归: 12番
四归: 2番
四杠: 40番
三杠: 16番
双杠: 4番
暗杠: 2番
一杠: 1番
大四喜: 40番
小四喜: 24番
大三元: 24番
小三元: 12番
四字刻: 12番
三字刻: 6番
双字刻: 2番
字刻: 1番
字对: 1番
三双同对: 8番
两双同对: 3番
双同对: 1番
两三同对: 12番
三同对: 3番
门前清: 2番
无番和: 6番
天地和: 12番
岭上开花: 3番
枯木逢春: 3番
金鸡夺食: 3番
